lsoa11cd,r_dom,h_dom,e_dom,ahah,gpp_d,ed_d,dent_d,pharm_d,gamb_d,ffood_d,leis_d,green900,pubs2_d,off2_d,tobac_d,no2,pm10,so2
E01008305,21.16531246,14.09394768,13.55412007,16.24935495,1.248985507,3.907391304,1.341449275,1.094347826,1.086376812,1.100869565,1.431594203,0.427730739,1.115652174,2.632028986,1.520144928,14.44539242,10.62683798,1.027609543
E01008306,2.4737722,50.01564305,9.223146973,20.86530196,4.233958333,11.51729167,3.255625,3.981875,4.215,4.96875,5.180625,0.129952501,3.975416667,8.740833333,10.85520833,8.792115109,10.08734778,0.922871232
E01008307,6.182699748,19.50103227,6.522609174,10.82310292,1.409393939,9.636666667,0.418484848,1.174242424,1.416060606,2.373939394,5.620909091,0.385802889,1.433636364,7.014545455,8.36969697,9.201264381,10.24768829,0.934161037
E01008308,4.347348985,45.74247234,6.505277298,19.13380727,3.0240625,10.28703125,3.0771875,2.9115625,3.336875,2.1259375,4.71703125,0.568186965,2.16328125,6.22625,8.95484375,10.3267835,10.47912057,0.952736139
E01008309,5.649360198,6.724327722,4.938510533,5.780268767,0.339473684,6.379210526,2.272105263,0.363684211,2.516842105,2.209210526,2.35,1.232803709,2.158947368,3.757631579,6.473157895,11.4479377,10.32198269,0.972082695
E01008311,5.643101379,29.08164137,7.809950978,14.32726534,2.145,8.075681818,1.927045455,1.610454545,1.610454545,1.595454545,1.671818182,0.503235771,2.870909091,5.265454545,8.386818182,11.30499497,10.40519444,0.964459655
E01008312,9.735779281,21.17623894,7.510879085,12.8913185,2.826333333,7.089666667,1.298,1.131333333,1.131333333,1.113666667,1.131333333,0.53057321,1.567,4.41,7.409,11.4367477,10.31288309,0.952615717
E01008313,10.20492068,19.45408399,9.542200748,13.13093863,2.341904762,7.204285714,1.492857143,0.993809524,0.993809524,0.976190476,0.993809524,0.320519536,1.707619048,4.635714286,7.56,11.39687347,10.31807137,0.951580286
E01008314,24.18434761,7.378529868,7.86426063,13.08474088,1.15125,4.56625,1.045625,0.603125,0.9725,1.37,0.7275,0.918669311,1.096875,1.37,1.53875,13.78562227,10.47503886,1.005531153
E01008315,25.54906857,12.84716944,7.399534549,15.24107664,1.237142857,3.982857143,1.155714286,1.250714286,1.153928571,1.480714286,1.089642857,1.094986075,0.658928571,1.458571429,1.608571429,14.04523036,10.49659806,1.010977411
E01008316,15.68710779,12.54387873,6.629052851,11.62925178,1.004285714,4.827619048,1.347619048,0.84,1.6,1.675238095,1.498095238,1.290987619,1.542380952,1.679047619,1.800952381,13.8108105,10.52592191,1.009472982
E01008317,17.11776441,14.08692028,7.356046118,12.86591037,0.840967742,4.666451613,1.859032258,1.406129032,1.32516129,1.500322581,0.979354839,0.987174876,1.374516129,1.457741935,2.315483871,13.72314175,10.33919203,0.999223248
E01008318,32.08393425,6.538508208,7.42506605,15.26106289,1.092,3.952,0.8044,0.7596,0.9312,1.1324,0.6648,1.04025177,0.672,1.1352,1.2568,13.92105665,10.43566598,1.004921779
E01008319,9.505160169,25.33527927,6.431042613,13.87294187,2.031388889,5.929722222,1.646944444,1.471666667,2.096666667,2.188888889,1.869166667,1.234772626,1.89,2.103888889,2.901666667,13.53986692,10.43456984,1.000876337
E01008320,43.52355129,3.590953508,11.39150246,19.34289193,0.41037037,5.536666667,0.468888889,0.508888889,0.474814815,0.517407407,1.578518519,0.399571833,0.662962963,0.517407407,2.509259259,13.29829466,10.39817586,0.996673279
E01008321,25.49131414,9.476392014,8.312786244,14.37732641,0.8685,5.16025,1.4315,0.72975,1.525,0.72975,0.9085,0.745235713,0.836,0.68,3.456,13.45356938,10.32658563,0.997907248
E01008322,27.34564492,13.14969411,7.993281018,16.13274156,1.205,4.814,1.2585,1.1345,0.6285,1.4565,0.994,0.828250514,0.856,1.4515,1.864,13.53413476,10.41680634,1.000421503
E01008323,31.84807582,9.366582483,9.113728453,16.70203345,0.969285714,4.995,0.840357143,0.913928571,0.604642857,1.121071429,1.074642857,0.650636235,0.736428571,1.121071429,1.967857143,13.5126435,10.43212573,1.000494198
E01008324,15.27861741,14.54822667,6.308325262,12.07008815,0.864285714,6.335357143,0.8725,0.8725,0.806071429,0.625714286,3.293214286,0.710705478,2.229285714,2.381785714,5.386785714,11.3793812,10.26504735,0.946410831
E01008325,15.22265716,12.27791329,7.33807493,11.61953211,0.729189189,7.063243243,0.652702703,0.757027027,0.737297297,0.864594595,4.022702703,0.515359225,1.534864865,3.111081081,5.363243243,11.25886916,10.2313111,0.943221516
E01008326,16.05154344,19.27604628,7.314135168,14.26452968,0.788571429,8.525238095,0.957619048,0.97952381,1.080952381,1.550952381,5.48952381,0.484683246,0.464285714,4.585238095,4.750952381,11.04358426,10.22144381,0.93506474
